x_uncompressed,y_uncompressed,z_uncompressed,z_decompressed,y_decompressed,z_decompressed,distance
9.939,9.94,-0.09,-0.091,9.939,9.938,0.00173141
9.878,9.942,-0.089,-0.09,9.942,9.878,0.001
9.819,9.944,-0.088,-0.088,9.943,9.818,0.00141479
9.744,9.931,-0.087,-0.087,9.93,9.744,0.000999451
9.694,9.943,-0.086,-0.087,9.942,9.693,0.00173196
9.643,9.921,-0.085,-0.086,9.92,9.642,0.00173142
9.54,9.878,-0.083,-0.083,9.877,9.539,0.00141411
9.519,9.918,-0.083,-0.083,9.917,9.518,0.00141411
9.431,9.889,-0.081,-0.082,9.888,9.43,0.00173142
9.127,9.631,-0.073,-0.073,9.63,9.126,0.00141344
8.551,9.083,-0.056,-0.057,9.082,8.55,0.00173142
8.537,9.124,-0.057,-0.058,9.123,8.536,0.00173142
8.551,9.169,-0.058,-0.058,9.168,8.55,0.00141344
8.562,9.238,-0.059,-0.06,9.237,8.562,0.00141382
8.547,9.281,-0.059,-0.06,9.28,8.546,0.00173142
8.563,9.356,-0.061,-0.062,9.355,8.562,0.00173142
8.547,9.398,-0.061,-0.062,9.397,8.546,0.00173142
8.56,9.472,-0.063,-0.064,9.471,8.56,0.00141383
8.563,9.534,-0.064,-0.065,9.534,8.562,0.00141382
8.565,9.567,-0.064,-0.065,9.567,8.564,0.00141382
8.567,9.63,-0.065,-0.065,9.629,8.567,0.000999451
8.565,9.688,-0.066,-0.066,9.687,8.564,0.00141344
8.579,9.766,-0.067,-0.068,9.765,8.579,0.00141383
8.573,9.822,-0.068,-0.069,9.821,8.572,0.00173141
8.584,9.897,-0.07,-0.071,9.897,8.583,0.00141383
11.027,8.38,-0.156,-0.157,8.379,11.027,0.00141383
10.974,8.394,-0.156,-0.157,8.393,10.973,0.00173142
11.083,8.505,-0.16,-0.16,8.504,11.082,0.00141344
11.084,8.562,-0.16,-0.16,8.562,11.083,0.000999451
11.092,8.623,-0.162,-0.163,8.622,11.091,0.00173142
11.107,8.692,-0.163,-0.164,8.692,11.107,0.001
11.119,8.757,-0.164,-0.165,8.756,11.119,0.00141383
10.926,8.66,-0.159,-0.159,8.659,10.925,0.00141344
10.931,8.721,-0.16,-0.16,8.72,10.93,0.00141344
10.391,8.369,-0.143,-0.144,8.369,10.39,0.00141382
10.33,8.374,-0.142,-0.143,8.373,10.329,0.00173142
10.279,8.386,-0.141,-0.142,8.385,10.279,0.00141383
10.219,8.39,-0.14,-0.141,8.39,10.218,0.00141383
10.177,8.409,-0.14,-0.141,8.409,10.176,0.00141383
10.111,8.408,-0.138,-0.138,8.407,10.11,0.00141344
10.045,8.406,-0.137,-0.137,8.405,10.044,0.00141344
9.992,8.389,-0.135,-0.136,8.388,9.991,0.00173142
9.941,8.399,-0.135,-0.136,8.398,9.94,0.00173142
9.881,8.402,-0.133,-0.134,8.402,9.88,0.00141383
9.842,8.422,-0.133,-0.134,8.421,9.841,0.00173142
11.166,9.621,-0.18,-0.181,9.621,11.166,0.000999987
11.163,9.68,-0.181,-0.181,9.68,11.162,0.000999451
9.641,8.408,-0.129,-0.129,8.407,9.64,0.00141344
9.599,8.398,-0.128,-0.129,8.397,9.598,0.00173141
9.537,8.396,-0.127,-0.128,8.395,9.536,0.00173142
9.488,8.406,-0.126,-0.127,8.405,9.487,0.00173142
9.414,8.394,-0.124,-0.124,8.393,9.413,0.00141344
9.377,8.414,-0.124,-0.124,8.413,9.376,0.00141344
9.29,8.388,-0.122,-0.123,8.387,9.289,0.00173142
9.238,8.394,-0.121,-0.121,8.393,9.237,0.00141344
9.198,8.384,-0.12,-0.12,8.383,9.197,0.00141344
9.369,8.595,-0.127,-0.128,8.595,9.369,0.001
10.373,9.918,-0.17,-0.171,9.917,10.372,0.00173197
10.317,9.927,-0.169,-0.169,9.926,10.317,0.000999451
8.395,8.355,-0.104,-0.105,8.354,8.395,0.00141382
8.446,8.46,-0.107,-0.108,8.459,8.445,0.00173142
9.573,9.931,-0.155,-0.156,9.93,9.572,0.00173142
9.506,9.923,-0.154,-0.154,9.923,9.505,0.000999451
9.461,9.939,-0.153,-0.153,9.938,9.461,0.000999451
9.356,9.89,-0.15,-0.151,9.89,9.355,0.00141382
9.312,9.906,-0.15,-0.151,9.905,9.312,0.00141382
9.139,9.783,-0.144,-0.144,9.782,9.138,0.00141344
9.124,9.828,-0.145,-0.145,9.827,9.123,0.00141344
8.589,9.918,-0.137,-0.137,9.917,8.588,0.00141411
10.993,8.338,-0.237,-0.238,8.338,10.992,0.00141383
10.992,8.392,-0.238,-0.239,8.391,10.991,0.00173196
11.04,8.484,-0.241,-0.241,8.483,11.039,0.00141344
11.034,8.534,-0.242,-0.242,8.534,11.034,0
11.044,8.597,-0.244,-0.245,8.596,11.043,0.00173142
11.068,8.644,-0.245,-0.246,8.643,11.067,0.00173142
11.071,8.702,-0.246,-0.247,8.701,11.07,0.00173141
11.156,8.826,-0.251,-0.251,8.825,11.155,0.00141411
10.817,8.613,-0.238,-0.239,8.612,10.817,0.00141382
10.342,8.343,-0.221,-0.222,8.343,10.341,0.00141383
10.305,8.367,-0.22,-0.22,8.366,10.305,0.000999451
